1,24000; 0,99152
1,32000; 0,98403
1,40000; 0,97507
1,48000; 0,96653
1,56000; 0,95921
1,64000; 0,94999
1,72000; 0,93877
1,80000; 0,92787
1,88000; 0,91735
1,96000; 0,90631
2,04000; 0,89638
2,12000; 0,88645
2,20000; 0,87701
2,28000; 0,86834
2,36000; 0,85926
2,44000; 0,85138
2,52000; 0,84364
2,60000; 0,83574
2,68000; 0,82703
2,76000; 0,81974
2,84000; 0,81358
2,92000; 0,80576
3,00000; 0,79868
3,08000; 0,79300
3,16000; 0,78573
3,24000; 0,77905
3,32000; 0,77489
3,40000; 0,77078
3,48000; 0,76462
3,56000; 0,75797
3,64000; 0,75357
3,72000; 0,74931
3,80000; 0,74424
3,88000; 0,74036
3,96000; 0,73652
4,04000; 0,73238
4,12000; 0,72842
4,20000; 0,72320
4,28000; 0,71874
4,36000; 0,71672
4,44000; 0,71457
4,52000; 0,71200
4,60000; 0,70807
4,68000; 0,70317
4,76000; 0,69868
4,84000; 0,69359
4,92000; 0,68755
